Session Start Time: 2025-10-21 18:26:21.919844
Subject: 1 
 Block: Practice 
Practice started at 8.58551491633989
STUDY_QUESTION, practice, 0, 11.827595749869943, [1.47204483], [0.]
STUDY_QUESTION, practice, 5, 28.831654999870807, [1.37984296], [0.]
STUDY_QUESTION, practice, 10, 45.73197904136032, [1.5385545], [0.]
STUDY_QUESTION, practice, 15, 62.79273304133676, [1.74882867], [1.]
TEST_Q1, practice, 0, 85.18808166636154, [2.69951258], [1.]
TEST_Q2, practice, 0, 87.8920414999593, [1.55321963], [0.]
TEST_Q1, practice, 1, 91.95321954134852, [0.81175975], [1.]
TEST_Q2, practice, 1, 92.76937408326194, [1.00151117], [2.]
TEST_Q1, practice, 2, 96.28004758316092, [0.51373575], [0.]
TEST_Q2, practice, 2, 96.7996479163412, [1.25033604], [1.]
TEST_Q1, practice, 3, 100.55862845829688, [0.35989254], [1.]
TEST_Q2, practice, 3, 100.92275245813653, [1.05927213], [2.]
TEST_Q1, practice, 4, 104.49426516634412, [0.49588108], [0.]
TEST_Q2, practice, 4, 104.99431770830415, [1.06500442], [1.]
TEST_Q1, practice, 5, 108.57775720814243, [0.49841558], [1.]
TEST_Q2, practice, 5, 109.08014341653325, [0.95038983], [2.]
TEST_Q1, practice, 6, 112.53986333310604, [1.07139821], [0.]
TEST_Q2, practice, 6, 113.61498895823024, [1.05688254], [0.]
TEST_Q1, practice, 7, 117.18157862499356, [0.44546367], [0.]
TEST_Q2, practice, 7, 117.6312471665442, [1.01223233], [0.]
TEST_Q1, practice, 8, 121.15387516655028, [0.44285908], [1.]
TEST_Q2, practice, 8, 121.60147537500598, [1.04967204], [0.]
TEST_Q1, practice, 9, 125.1619678332936, [0.39189596], [1.]
TEST_Q2, practice, 9, 125.5576490832027, [0.80019225], [2.]
TEST_Q1, practice, 10, 128.86732829152606, [1.36733608], [0.]
TEST_Q2, practice, 10, 130.23904916644096, [0.96751008], [0.]
TEST_Q1, practice, 11, 133.71781966648996, [1.53985837], [0.]
TEST_Q2, practice, 11, 135.26179550006054, [1.03479121], [0.]
TEST_Q1, practice, 12, 138.80610949988477, [1.57312233], [1.]
TEST_Q2, practice, 12, 140.38456849986687, [0.97664979], [2.]
TEST_Q1, practice, 13, 143.8704088749364, [0.600733], [1.]
TEST_Q2, practice, 13, 144.475358041469, [1.00829929], [2.]
TEST_Q1, practice, 14, 147.9924882913474, [0.53425562], [1.]
TEST_Q2, practice, 14, 148.53122516651638, [0.90926146], [2.]
TEST_Q1, practice, 15, 151.95386975002475, [0.99642242], [0.]
TEST_Q2, practice, 15, 152.9546217082534, [1.00363654], [1.]
TEST_Q1, practice, 16, 156.46772270812653, [0.88024054], [0.]
TEST_Q2, practice, 16, 157.35215462488122, [0.868118], [0.]
TEST_Q1, practice, 17, 160.72950016637333, [0.34071092], [1.]
TEST_Q2, practice, 17, 161.07401799992658, [0.8845515], [2.]
TEST_Q1, practice, 18, 164.47024870826863, [0.42379521], [1.]
TEST_Q2, practice, 18, 164.89823754155077, [0.87699408], [2.]
TEST_Q1, practice, 19, 168.28502733330242, [2.14945467], [1.]
TEST_Q2, practice, 19, 170.43881495809183, [0.89917738], [1.]
Practice ended at 172.84874054137617
