,trial_num,image_label,category,type,image_type,has_question,Image_Index,Image_Name,Filler_Index,Block,Part,Onset,Offset,Response,RT,Question_Position,Question_Response,Question_RT
0,1,C1_S1,1.0,study,target,False,Filler-968,,,1,study,0.34139554132707417,2.342575958231464,,,0.0,,
1,2,C1_S11,1.0,study,target,False,Filler-4558,,,1,study,3.345249083125964,5.346442083129659,,,0.0,,
2,3,C1_S19,1.0,study,target,False,Target-1658,,,1,study,6.348503791494295,8.34993345825933,,,0.0,,
3,4,C1_S10,1.0,study,target,False,Filler-6979,,,1,study,9.352120749885216,11.353291708044708,,,0.0,,
4,5,C1_S9,1.0,study,target,False,Filler-6214,,,1,study,12.357609541388229,14.359267333056778,,,0.0,,
5,6,C1_S5,1.0,study,target,False,Target-1726,,,1,study,15.361206708243117,17.362291541416198,,,0.0,,
6,7,C1_S12,1.0,study,target,False,Filler-5507,,,1,study,18.36426662490703,20.365586875006557,,,0.0,,
7,8,C1_S6,1.0,study,target,False,Target-1436,,,1,study,21.36756083322689,23.36883308319375,,,0.0,,
8,9,C1_S2,1.0,study,target,False,Filler-5418,,,1,study,24.370807083090767,26.371907166438177,,,0.0,,
9,10,C1_S4,1.0,study,target,False,Filler-2239,,,1,study,27.373871833086014,29.374977124854922,,,0.0,,
10,11,C1_S16,1.0,study,target,False,Target-790,,,1,study,30.376951249781996,32.37809379142709,,,0.0,,
11,12,C1_S13,1.0,study,target,False,Filler-4845,,,1,study,33.38059041649103,35.382158583030105,,,0.0,,
12,13,C1_S17,1.0,study,target,False,Filler-6188,,,1,study,36.384172374848276,38.385292458115146,,,0.0,,
13,14,C1_S15,1.0,study,target,False,Filler-3773,,,1,study,39.38720770808868,41.38834366644733,,,0.0,,
14,15,C1_S7,1.0,study,target,False,Filler-6752,,,1,study,42.39031933317892,44.391628708224744,,,0.0,,
15,16,C1_S14,1.0,study,target,False,Target-154,,,1,study,45.39359599980526,47.39470549998805,,,0.0,,
16,17,C1_S3,1.0,study,target,False,Filler-3184,,,1,study,48.396689291344956,50.397916541434824,,,0.0,,
17,18,C1_S18,1.0,study,target,False,Target-2130,,,1,study,51.400017666397616,53.40109737496823,,,0.0,,
18,19,C1_S8,1.0,study,target,False,Filler-6995,,,1,study,54.403230499941856,56.40425349981524,,,0.0,,
19,20,C1_S20,1.0,study,target,False,Filler-2694,,,1,study,57.40623770817183,59.407354958122596,,,0.0,,
20,21,F1,,study,filler,True,fillers_images/human2.jpg,human2.jpg,1.0,1,study,60.40927783306688,62.41040424979292,,,1.0,1.0,1.5176482498645782
21,22,C1_S22,1.0,study,target,False,Filler-3195,,,1,study,65.43530504149385,67.43633579136804,,,0.0,,
22,23,C2_S6,2.0,study,target,False,Target-576,,,1,study,68.43831337499432,70.43940245825797,,,0.0,,
23,24,C1_S27,1.0,study,target,False,Filler-2868,,,1,study,71.44135245820507,73.44240608322434,,,0.0,,
24,25,C1_S25,1.0,study,target,False,Filler-3500,,,1,study,74.4445927082561,76.44569987501018,,,0.0,,
25,26,C1_S26,1.0,study,target,False,Target-583,,,1,study,77.44767470820807,79.44875745824538,,,0.0,,
26,27,C2_S1,2.0,study,target,False,Filler-5605,,,1,study,80.45070499996655,82.45191520825028,,,0.0,,
27,28,C1_S28,1.0,study,target,False,Filler-4836,,,1,study,83.45484916632995,85.45651295804419,,,0.0,,
