trial_num,image_label,category,type,image_type,has_question,Image_Index,Image_Name,Filler_Index,Block,Part
1,C1_S7,1.0,study,target,False,Filler-323,,,1,study
2,C1_S5,1.0,study,target,False,Filler-6435,,,1,study
3,C1_S19,1.0,study,target,False,Filler-1571,,,1,study
4,C1_S9,1.0,study,target,False,Filler-3966,,,1,study
5,C1_S10,1.0,study,target,False,Target-328,,,1,study
6,C1_S2,1.0,study,target,False,Target-1436,,,1,study
7,C1_S17,1.0,study,target,False,Filler-4319,,,1,study
8,C1_S3,1.0,study,target,False,Filler-1856,,,1,study
9,C1_S15,1.0,study,target,False,Filler-2971,,,1,study
10,C1_S16,1.0,study,target,False,Filler-426,,,1,study
11,C1_S14,1.0,study,target,False,Filler-6863,,,1,study
12,C1_S8,1.0,study,target,False,Filler-2368,,,1,study
13,C1_S13,1.0,study,target,False,Filler-4108,,,1,study
14,C1_S18,1.0,study,target,False,Filler-6054,,,1,study
15,C1_S12,1.0,study,target,False,Target-1726,,,1,study
16,C1_S6,1.0,study,target,False,Filler-8015,,,1,study
17,C1_S11,1.0,study,target,False,Target-1529,,,1,study
18,C1_S4,1.0,study,target,False,Filler-2346,,,1,study
19,C1_S20,1.0,study,target,False,Filler-5496,,,1,study
20,C1_S1,1.0,study,target,False,Target-773,,,1,study
21,F1,,study,filler,True,fillers_images/human2.jpg,human2.jpg,1.0,1,study
22,C1_S28,1.0,study,target,False,Filler-6311,,,1,study
23,C1_S21,1.0,study,target,False,Filler-561,,,1,study
24,C2_S8,2.0,study,target,False,Filler-6983,,,1,study
25,C2_S10,2.0,study,target,False,Filler-7632,,,1,study
26,C2_S6,2.0,study,target,False,Filler-1625,,,1,study
27,C1_S29,1.0,study,target,False,Filler-599,,,1,study
28,C1_S26,1.0,study,target,False,Target-121,,,1,study
29,C2_S4,2.0,study,target,False,Target-576,,,1,study
30,C2_S3,2.0,study,target,False,Filler-4460,,,1,study
31,C1_S23,1.0,study,target,False,Filler-1354,,,1,study
32,C2_S1,2.0,study,target,False,Filler-6110,,,1,study
33,C1_S30,1.0,study,target,False,Filler-6147,,,1,study
34,C2_S9,2.0,study,target,False,Filler-2013,,,1,study
35,C2_S7,2.0,study,target,False,Target-100,,,1,study
36,C1_S24,1.0,study,target,False,Filler-738,,,1,study
37,C1_S27,1.0,study,target,False,Filler-3235,,,1,study
38,C1_S25,1.0,study,target,False,Filler-15,,,1,study
39,C1_S22,1.0,study,target,False,Filler-6979,,,1,study
40,C2_S2,2.0,study,target,False,Filler-826,,,1,study
41,C2_S5,2.0,study,target,False,Filler-1886,,,1,study
42,F2,,study,filler,True,fillers_images/nonhuman7.jpg,nonhuman7.jpg,2.0,1,study
43,C2_S27,2.0,study,target,False,Filler-6605,,,1,study
44,C2_S20,2.0,study,target,False,Target-2103,,,1,study
45,C2_S26,2.0,study,target,False,Filler-3868,,,1,study
46,C2_S15,2.0,study,target,False,Filler-7269,,,1,study
47,C2_S19,2.0,study,target,False,Target-1665,,,1,study
48,C2_S24,2.0,study,target,False,Filler-1154,,,1,study
49,C2_S14,2.0,study,target,False,Filler-2343,,,1,study
50,C2_S22,2.0,study,target,False,Filler-243,,,1,study
51,C2_S16,2.0,study,target,False,Filler-2539,,,1,study
52,C2_S21,2.0,study,target,False,Filler-6958,,,1,study
53,C2_S18,2.0,study,target,False,Filler-1587,,,1,study
54,C2_S25,2.0,study,target,False,Filler-6940,,,1,study
55,C2_S17,2.0,study,target,False,Filler-3220,,,1,study
56,C2_S23,2.0,study,target,False,Filler-7089,,,1,study
57,C2_S28,2.0,study,target,False,Target-1693,,,1,study
58,C2_S13,2.0,study,target,False,Filler-989,,,1,study
59,C2_S12,2.0,study,target,False,Filler-2945,,,1,study
60,C2_S30,2.0,study,target,False,Filler-6604,,,1,study
61,C2_S29,2.0,study,target,False,Filler-1958,,,1,study
62,C2_S11,2.0,study,target,False,Filler-5137,,,1,study
63,F3,,study,filler,True,fillers_images/nonhuman4.jpg,nonhuman4.jpg,3.0,1,study
64,C3_S7,3.0,study,target,False,Filler-379,,,1,study
65,C3_S10,3.0,study,target,False,Target-1718,,,1,study
66,C3_S18,3.0,study,target,False,Filler-7808,,,1,study
67,C3_S8,3.0,study,target,False,Filler-7859,,,1,study
68,C3_S1,3.0,study,target,False,Filler-3659,,,1,study
69,C3_S11,3.0,study,target,False,Target-400,,,1,study
70,C3_S2,3.0,study,target,False,Target-1878,,,1,study
71,C3_S15,3.0,study,target,False,Filler-414,,,1,study
72,C3_S3,3.0,study,target,False,Filler-7792,,,1,study
73,C3_S20,3.0,study,target,False,Filler-7341,,,1,study
74,C3_S17,3.0,study,target,False,Filler-6149,,,1,study
75,C3_S16,3.0,study,target,False,Filler-930,,,1,study
76,C3_S13,3.0,study,target,False,Target-943,,,1,study
77,C3_S14,3.0,study,target,False,Target-830,,,1,study
78,C3_S6,3.0,study,target,False,Filler-456,,,1,study
79,C3_S4,3.0,study,target,False,Filler-7092,,,1,study
80,C3_S12,3.0,study,target,False,Target-1164,,,1,study
81,C3_S9,3.0,study,target,False,Filler-3670,,,1,study
82,C3_S5,3.0,study,target,False,Target-1079,,,1,study
83,C3_S19,3.0,study,target,False,Target-1941,,,1,study
84,F4,,study,filler,True,fillers_images/human3.jpg,human3.jpg,4.0,1,study
85,C4_S4,4.0,study,target,False,Filler-228,,,1,study
86,C3_S28,3.0,study,target,False,Filler-272,,,1,study
87,C3_S26,3.0,study,target,False,Filler-4328,,,1,study
88,C3_S27,3.0,study,target,False,Filler-4667,,,1,study
89,C4_S5,4.0,study,target,False,Filler-5824,,,1,study
90,C4_S3,4.0,study,target,False,Target-738,,,1,study
